@attribute 'UnaryExpr' integer
@attribute 'UnionType' integer
@attribute 'UnknownType' integer
@attribute 'VariableDeclarationExpr' integer
@attribute 'VariableDeclarator' integer
@attribute 'VoidType' integer
@attribute 'WhileStmt' integer
@attribute 'WildcardType' integer
@attribute 'classification' integer
@attribute 'ID' integer

@data 

0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 9, 0, 0, 0, 2, 0, 1, 1, 13, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 12, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 17, 4, 0, 19, 18, 0, 0, 1, 3, 1, 4, 0, 2, 62, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 29
0, 0, 0, 0, 0, 0, 1, 0, 1, 11, 1, 25, 1, 0, 3, 1, 0, 1, 1, 19, 1, 0, 1, 0, 0, 1, 4, 0, 0, 1, 27, 2, 1, 0, 6, 6, 5, 0, 0, 7, 0, 4, 0, 0, 6, 0, 0, 0, 0, 92, 7, 0, 19, 112, 0, 0, 1, 2, 1, 4, 7, 4, 249, 0, 12, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 0, 10, 11, 4, 0, 0, 0, 30
0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 11, 0, 0, 2, 0, 0, 1, 1, 11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 9, 2, 0, 0, 2, 2, 6, 0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 30, 4, 0, 22, 35, 0, 0, 0, 2, 1, 2, 4, 2, 91, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 5, 5, 2, 0, 0, 0, 31
0, 0, 0, 0, 0, 0, 1, 0, 3, 4, 1, 10, 0, 0, 0, 1, 0, 1, 1, 15, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 24, 2, 0, 0, 0, 0, 5, 0, 0, 16, 0, 3, 0, 0, 0, 0, 0, 1, 0, 64, 7, 0, 20, 33, 0, 0, 1, 2, 1, 4, 1, 4, 132, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 5, 4, 0, 0, 0, 32
0, 0, 2, 2, 2, 2, 3, 0, 4, 17, 1, 16, 0, 0, 0, 2, 0, 1, 1, 35, 1, 0, 1, 0, 0, 0, 5, 0, 0, 1, 38, 9, 0, 0, 5, 0, 9, 0, 0, 15, 0, 11, 0, 0, 2, 0, 0, 0, 0, 59, 9, 0, 31, 82, 0, 0, 1, 7, 1, 6, 6, 4, 217, 0, 18, 1, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 0, 15, 15, 5, 0, 0, 0, 33
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 1, 1, 9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 6, 4, 0, 0, 0, 2, 6, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 13, 4, 0, 22, 10, 0, 0, 0, 2, 1, 2, 0, 2, 45, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 34
0, 0, 0, 0, 0, 0, 1, 0, 7, 13, 1, 23, 3, 0, 5, 1, 0, 1, 1, 25, 1, 0, 1, 0, 0, 0, 7, 0, 0, 1, 51, 8, 0, 0, 4, 3, 6, 0, 0, 21, 0, 3, 0, 0, 1, 0, 0, 0, 0, 129, 10, 0, 22, 110, 0, 0, 1, 3, 1, 4, 4, 4, 300, 0, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 0, 12, 12, 7, 0, 0, 0, 35
0, 0, 0, 0, 0, 0, 1, 0, 2, 19, 1, 22, 2, 1, 11, 1, 0, 1, 1, 22, 1, 0, 1, 1, 0, 0, 14, 0, 0, 1, 33, 2, 0, 0, 3, 7, 5, 0, 0, 31, 0, 10, 0, 0, 6, 0, 0, 0, 0, 77, 8, 0, 19, 71, 0, 0, 0, 2, 1, 3, 9, 2, 196, 0, 6, 1, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 11, 11, 6, 0, 0, 0, 36
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 1, 1, 9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 4, 2, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 9, 4, 0, 22, 6, 0, 0, 0, 2, 1, 2, 0, 2, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 37
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 5, 0, 0, 0, 0, 0, 1, 1, 10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 5, 2, 0, 0, 0, 0, 5, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 9, 4, 0, 19, 7, 0, 0, 0, 2, 1, 2, 0, 2, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 38
0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 9, 0, 0, 0, 2, 0, 1, 1, 13, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 11, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 14, 4, 0, 19, 16, 0, 0, 1, 3, 1, 4, 0, 2, 57, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 39
0, 0, 0, 0, 0, 0, 1, 0, 6, 6, 1, 15, 0, 0, 3, 2, 0, 1, 1, 21, 1, 0, 1, 0, 0, 0, 4, 0, 0, 1, 29, 9, 0, 0, 0, 0, 7, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 33, 10, 0, 25, 36, 0, 0, 1, 6, 1, 6, 2, 3, 120, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 3, 7, 0, 0, 0, 40
0, 0, 0, 0, 0, 0, 1, 0, 7, 2, 1, 8, 4, 0, 0, 0, 0, 1, 1, 14, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 21, 3, 0, 0, 0, 0, 5, 0, 0, 4, 0, 9, 0, 0, 7, 0, 0, 0, 0, 29, 7, 0, 19, 27, 0, 0, 0, 2, 1, 4, 1, 3, 90, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 0, 41
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 1, 1, 9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 5, 3, 0, 0, 0, 1, 6, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 11, 4, 0, 22, 8, 0, 0, 0, 2, 1, 2, 0, 2, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 42
